Date,N1,N2,N3,N4,N5
01/01,18,29,15,16,36
01/02,18,25,36,39,17
01/03,22,31,38,32,23
01/05,16,10,39,34,18
01/06,2,1,11,33,6
01/07,28,10,5,15,14
01/08,30,3,21,10,8
01/09,12,34,14,22,1
01/10,25,11,34,38,26
01/12,18,3,30,13,24
01/13,16,17,19,31,6
01/14,1,33,16,35,2
01/15,1,36,19,3,2
01/16,19,29,18,27,22
01/17,24,37,2,11,10
01/19,12,24,16,29,23
01/20,23,19,25,16,34
01/21,23,38,4,27,15
01/22,30,6,3,11,34
01/23,3,21,11,31,12
01/24,37,7,35,15,6
01/26,26,30,6,23,15
01/27,5,32,17,18,23
01/28,10,24,23,11,29
01/29,37,11,36,6,28
01/30,16,29,36,30,17
01/31,21,32,5,12,16
02/02,38,8,6,31,37
02/03,5,23,11,15,3
02/04,17,8,28,22,27
02/05,8,9,35,32,13
02/06,1,32,6,34,29
02/07,27,8,22,3,32
02/09,35,31,21,25,16
02/10,36,11,17,10,22
02/11,29,33,11,15,18
02/12,12,1,35,37,21
02/13,31,34,4,28,33
02/14,3,36,13,31,1
02/15,22,13,18,11,34
02/16,34,18,5,15,7
02/17,21,8,11,6,20
02/18,12,10,8,33,32
02/19,15,19,25,8,27
02/20,23,27,22,11,4
02/21,8,20,1,25,19
02/22,13,16,8,24,25
02/23,3,36,10,12,27
02/24,32,23,16,25,36
02/25,28,35,22,36,5
02/26,39,6,3,9,31
02/27,22,39,1,37,23
02/28,27,4,26,2,13
03/01,15,8,31,2,29
03/02,21,27,3,20,12
03/03,32,21,19,35,2
03/04,16,12,4,8,17
03/05,36,12,4,1,8
03/06,34,32,24,29,19
03/07,36,15,34,18,17
03/09,32,38,12,7,15
03/10,11,17,14,32,12
03/11,15,5,37,38,26
03/12,7,35,5,4,23
03/13,15,2,12,5,11
03/14,18,8,10,34,20
03/16,34,19,17,21,29
03/17,27,19,22,11,13
03/18,21,32,22,31,35
03/19,23,5,25,30,37
03/20,11,33,15,3,39
03/21,19,7,15,22,14
03/23,29,12,7,35,24
03/24,36,29,10,20,28
03/25,31,13,36,33,3
03/26,14,24,37,17,20
03/27,8,34,35,18,24
03/28,16,17,11,9,6
03/30,8,6,22,32,20
03/31,23,16,35,39,9
04/01,3,23,13,11,10
04/02,18,13,9,1,21
04/03,8,6,25,35,9
04/04,4,25,36,17,31
04/06,34,11,31,17,7
04/07,21,4,27,29,8
04/08,29,5,2,4,6
04/09,38,2,15,31,25
04/10,9,30,25,21,27
04/11,24,31,17,12,7
04/13,38,18,37,31,30
04/14,33,27,14,29,9
04/15,30,2,11,29,9
04/16,21,12,30,8,6
04/17,7,26,2,1,16
04/18,29,7,25,26,31
04/20,3,5,20,4,36
04/21,14,28,26,1,6
04/22,7,38,24,39,5
04/23,10,17,35,25,2
04/24,16,21,25,34,29
04/25,3,20,22,33,21
04/27,23,20,18,27,8
04/28,21,38,7,35,8
04/29,32,6,36,2,22
04/30,15,31,30,6,27
05/01,16,3,2,20,14
05/02,9,8,38,25,17
05/04,8,26,39,36,22
05/05,16,37,8,24,27
05/06,10,11,39,34,4
05/07,1,6,18,25,36
05/08,28,26,19,23,18
05/09,25,18,21,22,11
05/11,37,21,13,36,2
05/12,1,4,22,12,26
05/13,23,7,2,6,9
05/14,8,39,18,28,35
05/15,23,1,13,36,25
05/16,11,33,32,2,28
05/18,20,15,32,33,8
05/19,4,32,6,24,31
05/20,21,20,23,1,35
05/21,36,34,9,28,25
05/22,37,4,8,16,15
05/23,15,38,16,24,6
05/25,5,6,12,36,37
05/26,2,14,7,11,37
