Date,N1,N2,N3,N4,N5,N6,Special
01/02,16,40,19,42,3,7,12
01/06,33,45,23,2,39,38,6
01/09,45,1,34,7,14,13,8
01/13,19,10,2,39,49,18,24
01/16,10,25,22,36,9,21,20
01/20,26,2,44,41,7,45,46
01/23,36,32,21,23,43,39,12
01/27,24,4,29,25,30,11,8
01/30,32,39,13,31,9,27,19
02/03,6,14,33,32,43,39,13
02/06,4,12,39,48,24,25,9
02/10,6,20,35,21,24,16,13
02/12,48,1,15,3,20,8,46
02/13,20,35,48,39,9,25,47
02/14,11,1,22,40,36,35,28
02/15,11,6,28,3,18,25,35
02/16,11,18,46,27,16,38,43
02/17,12,24,6,46,26,37,36
02/18,36,49,37,16,39,35,45
02/19,31,28,41,20,35,29,6
02/20,15,18,24,49,13,33,10
02/21,17,13,41,48,27,12,46
02/22,5,22,24,17,7,47,20
02/23,47,27,6,23,10,48,30
02/24,19,28,12,31,22,27,45
02/25,45,22,49,15,7,38,31
02/26,22,1,16,24,48,47,7
02/27,19,45,14,34,18,47,48
02/28,30,37,17,49,39,23,43
03/01,7,4,34,40,44,49,37
03/02,39,19,33,28,25,27,37
03/03,26,35,46,27,5,45,37
03/06,23,9,12,11,14,25,42
03/10,47,43,29,11,5,37,10
03/13,38,47,5,48,12,13,3
03/17,10,22,40,45,2,6,17
03/20,15,43,38,33,41,11,21
03/24,38,48,41,44,14,42,47
03/27,23,29,36,8,26,4,38
03/31,5,45,40,25,11,47,39
04/03,48,36,12,25,13,5,8
04/07,1,26,2,16,18,6,47
04/10,21,40,15,10,4,17,30
04/14,43,8,23,21,4,24,13
04/17,40,22,45,7,11,10,18
04/21,1,20,17,19,6,40,22
04/24,14,37,47,39,16,7,34
04/28,25,32,14,10,6,26,7
05/01,7,43,27,35,22,48,45
05/05,17,37,28,4,23,33,15
05/08,18,43,10,25,28,39,48
05/12,36,6,12,19,18,32,34
05/15,29,35,43,16,30,42,1
