Date,N1,N2,N3,N4,N5
01/01,1,3,9,11,21
01/02,13,14,24,25,35
01/03,9,14,19,20,24
01/04,1,4,34,37,39
01/05,9,19,20,26,32
01/06,5,9,15,21,24
01/07,1,10,28,31,39
01/08,2,3,9,11,31
01/09,2,15,19,24,36
01/10,23,25,28,29,35
01/11,12,13,15,24,34
01/12,7,16,17,19,35
01/13,13,18,27,28,35
01/14,4,9,25,27,35
01/15,2,9,12,25,39
01/16,6,18,28,32,36
01/17,3,8,16,31,33
01/18,8,18,28,33,39
01/19,16,18,19,31,37
01/20,11,19,22,27,30
01/21,7,8,13,22,28
01/22,13,14,18,26,32
01/23,6,8,11,27,28
01/24,11,14,15,20,36
01/25,15,18,25,33,35
01/26,1,14,19,27,37
01/27,1,2,5,7,20
01/28,1,4,22,33,39
01/29,5,6,13,27,32
01/30,2,4,8,17,21
01/31,9,13,18,24,28
02/01,2,14,18,20,35
02/02,6,12,19,22,25
02/03,1,8,23,24,36
02/04,5,6,13,15,23
02/05,9,11,25,26,29
02/06,8,26,28,32,38
02/07,5,11,26,28,39
02/08,8,12,15,24,34
02/09,18,20,24,29,33
02/10,2,8,11,36,37
02/11,4,5,12,26,32
02/12,4,10,19,23,26
02/13,14,18,23,27,29
02/14,11,15,18,25,27
02/15,2,13,20,28,30
02/16,4,9,14,26,34
02/17,1,3,15,17,21
02/18,8,11,26,28,35
02/19,6,8,14,22,28
02/20,3,22,27,31,37
02/21,10,19,22,31,36
02/22,19,23,29,30,36
02/23,3,24,25,34,37
02/24,3,10,20,26,30
02/25,3,4,14,31,33
02/26,5,7,10,33,34
02/27,3,9,10,20,27
02/28,26,29,30,31,32
03/01,10,13,24,32,38
03/02,8,10,11,21,29
03/03,6,7,30,32,33
03/04,12,13,16,25,38
03/05,1,3,4,13,17
03/06,3,17,18,27,35
03/07,10,15,31,35,38
03/08,10,19,29,33,36
03/09,4,14,15,23,29
03/10,21,22,32,35,38
03/11,18,24,28,34,39
03/12,16,19,21,29,38
03/13,9,15,18,26,35
03/14,9,21,23,27,33
03/15,14,17,24,34,35
03/16,13,23,25,34,36
03/17,10,12,13,19,26
03/18,12,19,20,30,36
03/19,8,13,21,27,31
03/20,3,14,20,27,37
03/21,13,18,27,31,32
03/22,4,30,33,37,39
03/23,4,7,10,28,37
03/24,4,9,17,26,35
03/25,9,12,20,23,26
03/26,4,5,17,24,38
03/27,2,17,18,26,35
03/28,4,6,25,26,33
03/29,2,10,16,27,39
03/30,1,3,14,20,29
03/31,1,9,18,31,36
04/01,4,5,10,13,32
04/02,7,12,16,20,32
04/03,7,21,25,31,37
04/04,14,15,23,30,37
04/05,1,4,9,18,32
04/06,4,13,16,19,37
04/07,4,5,20,21,39
04/08,4,8,23,28,29
04/09,6,7,8,27,32
04/10,1,5,17,23,32
04/11,11,12,28,29,31
04/12,10,16,18,27,28
04/13,14,16,20,22,38
04/14,3,13,20,29,37
04/15,2,8,23,33,34
04/16,21,28,30,32,39
04/17,8,10,21,22,38
04/18,9,10,23,24,25
04/19,1,10,13,14,31
04/20,13,16,23,33,36
04/21,7,17,36,38,39
04/22,2,11,12,35,39
04/23,9,14,19,30,33
04/24,15,17,30,34,35
04/25,3,6,18,29,34
04/26,1,5,6,20,34
04/27,9,11,18,33,37
04/28,2,4,5,10,31
04/29,14,19,33,37,38
04/30,1,5,20,21,39
05/01,10,14,21,33,39
05/02,8,19,28,35,36
05/03,11,16,18,20,23
05/04,5,10,14,16,22
05/05,9,13,17,19,31
05/06,8,13,18,32,36
05/07,2,5,13,16,36
05/08,3,8,12,26,29
05/09,5,9,12,14,15
05/10,4,11,12,28,35
05/11,9,11,17,25,29
05/12,14,17,19,29,38
05/13,8,17,25,31,33
05/14,4,19,23,24,32
05/15,1,8,31,32,38
05/16,6,10,26,29,33
05/17,10,12,21,22,30
05/18,3,12,15,29,33
05/19,11,16,30,31,33
05/20,9,13,15,18,19
05/21,2,10,16,20,39
05/22,1,6,11,34,39
05/23,6,14,16,28,36
05/24,7,26,33,35,37
05/25,2,4,11,12,24
05/26,2,14,34,35,39
05/27,2,6,19,22,27
05/28,7,15,16,22,30
05/29,2,12,20,30,34
