Date,N1,N2,N3,N4,N5,N6,Special
01/03,20,16,2,21,13,10,14
01/06,12,2,8,19,28,36,1
01/08,45,15,46,21,24,40,13
01/10,37,20,22,24,16,3,42
01/13,38,48,14,39,24,34,27
01/15,44,6,37,3,38,39,48
01/17,27,12,42,5,23,15,46
01/20,6,46,44,9,1,4,27
01/22,31,4,24,27,15,9,45
01/24,16,17,48,22,28,6,45
01/27,38,47,25,12,14,7,15
01/29,14,44,9,6,35,12,11
01/31,30,35,32,36,25,47,46
02/03,42,39,23,27,12,37,5
02/05,35,24,36,9,1,17,42
02/07,32,12,37,22,44,28,20
02/10,39,4,26,3,18,14,40
02/12,3,46,37,25,2,14,10
02/15,8,28,46,37,36,33,4
02/21,34,18,35,37,49,2,33
02/24,10,4,3,2,23,13,12
02/26,6,19,38,15,42,13,34
02/28,47,37,15,46,39,5,29
03/03,20,32,31,44,13,6,45
03/05,4,31,24,18,46,42,11
03/07,18,12,22,28,15,37,31
03/10,34,16,25,2,35,37,49
03/12,7,14,26,13,16,30,34
03/17,22,18,45,16,28,49,13
03/19,6,8,45,2,41,33,48
03/21,9,47,18,11,5,23,24
03/24,26,6,22,44,49,9,7
03/26,27,12,23,28,37,17,3
03/28,42,26,27,11,21,45,19
03/31,20,32,28,9,19,18,44
04/04,32,45,40,20,35,28,43
04/07,33,23,25,34,29,8,49
04/09,24,43,45,44,13,16,40
04/11,14,42,40,11,17,28,2
04/14,19,44,8,46,33,22,18
04/16,6,28,44,46,14,12,15
04/18,17,39,20,46,27,32,34
04/21,4,11,44,10,2,26,40
04/23,12,38,45,23,48,37,8
04/25,21,42,46,36,4,16,9
05/02,8,28,48,30,3,2,9
05/05,47,10,7,2,18,8,4
05/07,23,34,28,20,14,6,49
05/10,17,41,26,47,9,42,8
05/12,4,22,16,47,25,19,40
05/14,47,27,23,34,30,45,28
05/16,25,43,41,28,11,36,22
05/19,2,21,27,1,20,4,19
05/21,7,13,15,5,31,27,16
05/23,20,7,2,42,49,47,8
